,Leq,Mode1_Q-factor,Mode1_R_divide_Q,Mode1_frequency,Mode1_shunt_impedance,Mode2_R_divide_Q,Mode2_frequency,R3_left,R3_right,Req,cocave,concave_L,nose,r0_left,r0_right,r1_left,r1_right,r2_left,r2_right,random1,random2,random3_l,random3_r,random4,random5_l,random5_r,random6_l,random6_r,random7_l,random7_r,random8_l,random8_r,shunt_impedance_divide_delta
1097,315.8290264,36590.389,408.31902,497.54293,14940551,51.221051,694.54003,141.4940023,123.494686,205.6888672,91.35022906,90.23231163,5.373691815,0.876560394,1.582062691,4.536634891,3.435578526,28.03443682,33.37188419,189.6888672,0.028328978,0.232325813,0.32998091,32.84102185,0.571399739,0.578478996,0.349916893,0.44770826,0.533830153,0.342409052,0.283094983,0.357111176,0.060395101
1098,218.2385065,28994.859,318.91898,502.57779,9247010.8,1.2558254,911.00961,100.8533741,101.0166729,179.1136673,86.21984589,81.18807325,5.687017836,1.293865606,1.762904057,5.664600581,3.662390228,34.54695594,31.64896954,163.1136673,0.034865367,0.359362761,0.35832546,16.20516076,0.74403069,0.790143291,0.473942239,0.475616659,0.519958082,0.348241012,0.447928697,0.415719352,0.419640644
1099,255.3703405,30480.254,380.88355,500.19376,11609427,5.4522733,791.71801,117.7746113,109.6732084,183.5644825,92.21745138,92.84742819,5.342023289,1.153394428,1.570182341,4.388146836,3.391946842,32.3907849,33.78461537,167.5644825,0.031880403,0.273993183,0.323933265,19.82111783,0.727159059,0.722225229,0.447457696,0.465807373,0.5174747,0.368987514,0.392188472,0.422081216,0.269092542
1100,258.1201722,36612.847,338.47708,499.57581,12392610,19.672477,809.81969,118.5934682,116.3082203,210.4753593,69.25205976,75.46415614,8.656152836,2.003895801,3.237901633,10.11807777,8.100843001,25.36649386,20.84930724,194.4753593,0.044510281,0.361780354,0.374078587,20.9332359,0.584721105,0.536587739,0.486494452,0.609828867,0.52414753,0.386618382,0.264620178,0.216217854,0.219416533
1101,270.6442547,21354.84,458.71611,497.66792,9795808.9,15.632642,714.81083,133.8202569,93.45361522,159.9672166,95.52109722,114.2884508,1.760708955,0.164370703,0.786156649,0.619510819,0.708846613,1.701618059,36.71261565,143.9672166,0.01222993,0.058972341,0.342831655,3.003740851,0.844565874,0.705879364,0.13871051,0.592582862,0.326980774,0.246518781,0.023724714,0.552106515,0.384382659
1102,211.2031787,29194.052,297.31848,499.24414,8679931.4,1.0106729,938.45923,97.07087527,95.65718679,182.174569,76.40001204,82.64489733,7.086264697,1.532554209,2.279420425,7.342697021,5.225765734,29.32752873,32.01962162,166.174569,0.042643497,0.389830222,0.39871641,17.06142816,0.782610355,0.723474074,0.44862482,0.492013818,0.517924371,0.346222809,0.388397969,0.420597076,0.453527516
1103,197.3622509,27488.587,276.77783,497.80971,7608231.4,0.32655662,996.91937,90.69289774,90.53526905,175.6385121,80.8218524,76.84887276,6.026895644,1.2914585,1.926693169,6.637275852,4.333086397,30.43275754,29.53612001,159.6385121,0.037753394,0.409596098,0.410622249,15.97645545,0.77875959,0.819020375,0.447961012,0.492496668,0.521649132,0.350894051,0.422952277,0.415668454,0.522079769
1104,249.6826834,29405.141,376.74868,502.65786,11078348,3.7979843,803.18196,114.8880711,104.6031542,178.1473407,91.24882111,94.51622868,5.180596516,1.168349297,1.570468818,4.040618674,3.202929077,30.88760618,31.58724717,162.1473407,0.031949932,0.26807381,0.333596713,19.90654127,0.757090779,0.730918299,0.457007595,0.472211494,0.506520047,0.35803257,0.389661459,0.413083279,0.304338983
1105,268.8175375,32023.513,393.47411,499.46829,12600423,11.948099,768.90628,126.1295972,117.341177,190.8805261,83.93491429,100.155795,5.683697165,1.015257171,1.860012545,4.541433792,3.503465328,43.37110648,32.73513352,174.8805261,0.032500458,0.254539237,0.306481229,16.55834306,0.745158191,0.624474988,0.376994622,0.498661334,0.526183717,0.343734991,0.502212914,0.375133772,0.20640416
1106,214.5899688,30835.117,300.51205,499.71074,9266324.2,1.84125,929.17907,96.28210687,99.11700006,190.0261769,75.61008432,78.26812894,5.861858132,1.25603527,1.853197407,6.95691333,4.624726714,30.92667773,33.7645338,174.0261769,0.033683772,0.427452223,0.410594347,16.35596867,0.7294668,0.704693558,0.447716082,0.484847599,0.521409761,0.347949652,0.394769401,0.419179998,0.416338286
1107,253.2122927,31817.359,369.53036,499.30282,11757480,6.5817154,803.17417,117.819661,112.3545073,190.3831099,85.79283612,90.72902854,5.958191367,1.300716606,1.752897986,5.228038212,4.016553308,32.69882584,33.36754438,174.3831099,0.03416725,0.30046182,0.332910425,17.57297077,0.716624202,0.677635633,0.450398715,0.463123446,0.515302148,0.3647489,0.382161531,0.394162883,0.259623351
1108,279.1609382,33046.094,403.53694,500.08011,13335320,18.163515,750.10673,130.2788244,122.2562718,194.8653674,83.99632182,99.85368436,5.552948051,1.093127327,1.650411337,4.374856302,3.707105035,43.07068723,32.4636968,178.8653674,0.031045407,0.2483007,0.294590242,18.60328947,0.715384359,0.601777042,0.408718229,0.475889463,0.518359351,0.375456778,0.482612881,0.358420448,0.160292111
1109,222.5293279,30578.489,318.24331,498.66228,9731399.6,1.8945555,899.07571,103.5734731,103.3704278,187.860219,82.43619984,80.55727945,6.014571475,1.348474562,1.863798342,6.426915175,4.267819341,38.26826745,32.86149745,171.860219,0.03499688,0.375482717,0.376707021,15.38238164,0.724014944,0.74090189,0.47158958,0.478631517,0.524583919,0.352569823,0.47178384,0.407757015,0.387716549
1110,245.3997401,31551.947,354.58975,499.57384,11187997,5.2626419,826.31509,114.0031429,106.7878257,189.239981,80.55397557,91.72661856,6.22915565,1.337743785,1.853624264,5.72712091,4.502420907,34.60957567,35.25327506,173.239981,0.035956802,0.317390698,0.36059339,17.39345435,0.747568995,0.656512314,0.457482933,0.46648073,0.530572139,0.362090875,0.414614476,0.424755545,0.295299157
